Id,SMILES,Protein,Ligand,Heavy Atoms,Mol. weight [g/mol],Exp. Affinity,Binding probability mean,Binding probability std,dG [kcal/mol] mean,dG [kcal/mol] std,Lig. Efficiency [kcal/mol] mean,Lig. Efficiency [kcal/mol] std,Pic50 mean,Pic50 std,Pkd mean,Pkd std
56_lig_assembled_32_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(CCC(=O)O)nn2)O1,protein.pdb,56_lig_assembled_32_pdb_processed.sdf,36,519.464,None,0.2,0.4,-5.356459655,-0.8235938632,-0.148790546,-0.02287760731,3.873737199,0.7470481261,3.967747893,0.6100695283
57_lig_assembled_33_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(CCCCCC(=O)O)nn2)O1,protein.pdb,57_lig_assembled_33_pdb_processed.sdf,39,561.545,None,0.2,0.4,-6.019894399,-0.777161076,-0.1543562666,-0.01992720708,4.683490004,0.5882506611,4.459181036,0.5756748711
58_lig_assembled_34_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccc(-c4c5ccc(=O)cc-5oc5c4CC=C(O)C5)c(C(=O)O)c3)nn2)O1,protein.pdb,58_lig_assembled_34_pdb_processed.sdf,56,779.712,None,0.2,0.4,-10.75241399,-0.5946547691,-0.1920073928,-0.01061883516,7.909604004,0.5469415888,7.964751107,0.4404850141
59_lig_assembled_34_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccc(-c4c5ccc(=O)cc-5oc5c4CC=C(O)C5)c(C(=O)O)c3)nn2)O1,protein.pdb,59_lig_assembled_34_pdb_processed.sdf,56,779.712,None,0.2,0.4,-11.11835694,-1.205441516,-0.1985420881,-0.02152574135,8.200685433,0.9279843255,8.235819953,0.8929196413
60_lig_assembled_34_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccc(-c4c5ccc(=O)cc-5oc5c4CC=C(O)C5)c(C(=O)O)c3)nn2)O1,protein.pdb,60_lig_assembled_34_pdb_processed.sdf,56,779.712,None,0.2,0.4,-10.97687213,-0.998262598,-0.1960155737,-0.01782611782,7.981013434,0.917799621,8.131016391,0.7394537763
61_lig_assembled_34_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccc(-c4c5ccc(=O)cc-5oc5c4CC=C(O)C5)c(C(=O)O)c3)nn2)O1,protein.pdb,61_lig_assembled_34_pdb_processed.sdf,56,779.712,None,0.2,0.4,-10.75536283,-0.6897818617,-0.1920600506,-0.01231753324,7.884283951,0.5795446301,7.96693543,0.5109495272
62_lig_assembled_35_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn([C@@H](C)C(=O)O)nn2)O1,protein.pdb,62_lig_assembled_35_pdb_processed.sdf,36,519.464,None,0.2,0.4,-5.707795164,-0.8661245442,-0.1585498657,-0.02405901512,4.151397364,0.6918370855,4.227996417,0.6415737364
63_lig_assembled_36_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(Cc3ccc(C#N)cc3)nn2)O1,protein.pdb,63_lig_assembled_36_pdb_processed.sdf,40,562.536,None,0.2000000039,0.3999999981,-8.948453185,-0.9843080685,-0.2237113296,-0.02460770171,6.612957886,0.9939053629,6.62848384,0.7291170878
64_lig_assembled_36_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(Cc3ccc(C#N)cc3)nn2)O1,protein.pdb,64_lig_assembled_36_pdb_processed.sdf,40,562.536,None,0.2000000002,0.3999999999,-8.29750607,-1.170224788,-0.2074376518,-0.0292556197,5.935898645,0.9180007676,6.146300793,0.8668331764
65_lig_assembled_37_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn([C@@H](C)C(=O)OCc3ccccc3)nn2)O1,protein.pdb,65_lig_assembled_37_pdb_processed.sdf,43,609.589,None,0.2000000475,0.3999999762,-7.585658128,-0.8780766936,-0.1764106541,-0.02042038822,5.403578792,0.7833563876,5.619006021,0.6504271804
66_lig_assembled_38_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(Cc3cccc(Br)c3)nn2)O1,protein.pdb,66_lig_assembled_38_pdb_processed.sdf,39,616.422,None,0.2,0.4,-7.961672504,-1.025441717,-0.2041454488,-0.02629337735,5.978325708,0.7441119121,5.897535188,0.7595864569
67_lig_assembled_38_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(Cc3cccc(Br)c3)nn2)O1,protein.pdb,67_lig_assembled_38_pdb_processed.sdf,39,616.422,None,0.2,0.4,-6.960495257,-1.013179546,-0.1784742374,-0.02597896272,4.861863988,0.7771174178,5.155922413,0.7505033675
68_lig_assembled_39_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(Cc3ccccc3Br)nn2)O1,protein.pdb,68_lig_assembled_39_pdb_processed.sdf,39,616.422,None,2.31E-15,4.63E-15,-6.756443279,-0.8899683128,-0.1732421354,-0.02281970033,4.740015881,0.7032886201,5.004772799,0.6592357873
69_lig_assembled_39_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(Cc3ccccc3Br)nn2)O1,protein.pdb,69_lig_assembled_39_pdb_processed.sdf,39,616.422,None,0.2,0.4,-8.092071727,-0.7701115278,-0.2074890186,-0.01974644943,5.93892874,0.5317593277,5.994127205,0.5704529836
70_lig_assembled_3_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccccc3)nn2)O1,protein.pdb,70_lig_assembled_3_pdb_processed.sdf,37,523.499,None,0.2000002527,0.3999998737,-7.621245922,-0.8154796959,-0.2059796195,-0.02203999178,5.600705624,0.7155477394,5.64536735,0.604059034
71_lig_assembled_3_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccccc3)nn2)O1,protein.pdb,71_lig_assembled_3_pdb_processed.sdf,37,523.499,None,0.2,0.4,-6.538824228,-0.6616105782,-0.1767249791,-0.01788136698,4.903037003,0.61367231,4.843573502,0.4900819098
72_lig_assembled_3_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccccc3)nn2)O1,protein.pdb,72_lig_assembled_3_pdb_processed.sdf,37,523.499,None,0.2,0.4,-6.080784835,-0.7521513585,-0.1643455361,-0.02032841509,4.625516926,0.6585495912,4.504285063,0.5571491544
73_lig_assembled_40_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccc(C)cc3)nn2)O1,protein.pdb,73_lig_assembled_40_pdb_processed.sdf,38,537.526,None,0.2000002541,0.3999998729,-7.643351248,-0.7852788068,-0.2011408223,-0.02066523176,5.690611976,0.596900815,5.661741665,0.581688005
74_lig_assembled_40_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccc(C)cc3)nn2)O1,protein.pdb,74_lig_assembled_40_pdb_processed.sdf,38,537.526,None,0.2,0.4,-6.522739848,-1.136646519,-0.1716510486,-0.02991175049,4.895608221,0.8346052837,4.831659147,0.8419603841
75_lig_assembled_41_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccccc3C(C)=O)nn2)O1,protein.pdb,75_lig_assembled_41_pdb_processed.sdf,40,565.536,None,0.2,0.4,-7.933412198,-0.6462438931,-0.1983353049,-0.01615609733,5.864128794,0.690392316,5.876601628,0.4786991801
76_lig_assembled_42_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccc4c(c3)OCO4)nn2)O1,protein.pdb,76_lig_assembled_42_pdb_processed.sdf,40,567.508,None,0.2000000356,0.3999999822,-7.818053545,-0.4856466872,-0.1954513386,-0.01214116718,5.740980489,0.4428795697,5.791150774,0.3597382868
77_lig_assembled_42_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccc4c(c3)OCO4)nn2)O1,protein.pdb,77_lig_assembled_42_pdb_processed.sdf,40,567.508,None,0.2,0.4,-8.068330499,-0.8416306725,-0.2017082625,-0.02104076681,5.811878204,0.66907448,5.97654111,0.6234301278
78_lig_assembled_43_pdb,C=CCCCCn1cc(COC(=O)NC[C@@H](O)[C@@H](O)[C@@H]2O[C@@](OC)(C(=O)O)C[C@H](O)[C@H]2NC(C)=O)nn1,protein.pdb,78_lig_assembled_43_pdb_processed.sdf,37,529.547,None,0.2,0.4,-6.218718001,-1.350636894,-0.1680734595,-0.03650369985,4.440687418,0.8311429044,4.606457778,1.000471774
79_lig_assembled_43_pdb,C=CCCCCn1cc(COC(=O)NC[C@@H](O)[C@@H](O)[C@@H]2O[C@@](OC)(C(=O)O)C[C@H](O)[C@H]2NC(C)=O)nn1,protein.pdb,79_lig_assembled_43_pdb_processed.sdf,37,529.547,None,0.2000000001,0.4,-7.699867262,-0.7466586266,-0.2081045206,-0.02017996288,5.637189865,0.7508452156,5.703605379,0.5530804642
80_lig_assembled_43_pdb,C=CCCCCn1cc(COC(=O)NC[C@@H](O)[C@@H](O)[C@@H]2O[C@@](OC)(C(=O)O)C[C@H](O)[C@H]2NC(C)=O)nn1,protein.pdb,80_lig_assembled_43_pdb_processed.sdf,37,529.547,None,0.2000006619,0.399999669,-7.542738431,-0.7218646455,-0.2038577954,-0.01950985528,5.49104384,0.6239548132,5.587213652,0.5347145522
81_lig_assembled_43_pdb,C=CCCCCn1cc(COC(=O)NC[C@@H](O)[C@@H](O)[C@@H]2O[C@@](OC)(C(=O)O)C[C@H](O)[C@H]2NC(C)=O)nn1,protein.pdb,81_lig_assembled_43_pdb_processed.sdf,37,529.547,None,0.2,0.4,-6.680872761,-0.914755519,-0.1805641287,-0.02472312214,4.824623789,0.7727954584,4.948794637,0.6775966807
