Id,SMILES,Protein,Ligand,Heavy Atoms,Mol. weight [g/mol],Exp. Affinity,Binding probability mean,Binding probability std,dG [kcal/mol] mean,dG [kcal/mol] std,Lig. Efficiency [kcal/mol] mean,Lig. Efficiency [kcal/mol] std,Pic50 mean,Pic50 std,Pkd mean,Pkd std
16_lig_assembled_24_pdb,COc1ccc(Cn2cc(COC(=O)NC[C@@H](O)[C@@H](O)[C@@H]3O[C@@](OC)(C(=O)O)C[C@H](O)[C@H]3NC(C)=O)nn2)cc1,protein.pdb,16_lig_assembled_24_pdb_processed.sdf,40,567.552,None,0.2,0.4,-6.019268969,-0.8836773974,-0.1504817242,-0.02209193493,4.486037867,0.835762931,4.458717755,0.6545758499
17_lig_assembled_25_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(C3c4ccccc4-c4ccccc43)nn2)O1,protein.pdb,17_lig_assembled_25_pdb_processed.sdf,44,611.608,None,0.2,0.4,-8.399234104,-0.7673771543,-0.1908916842,-0.01744038987,6.137712206,0.7262978402,6.221654892,0.5684275217
18_lig_assembled_26_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn([C@@H](C)CC(=O)c3ccccc3)nn2)O1,protein.pdb,18_lig_assembled_26_pdb_processed.sdf,42,593.59,None,0.2,0.4,-6.665752688,-1.037446145,-0.1587083973,-0.02470109868,4.887465307,0.9186892685,4.937594584,0.7684786258
19_lig_assembled_27_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3cccc(Cl)c3)nn2)O1,protein.pdb,19_lig_assembled_27_pdb_processed.sdf,38,557.944,None,0.2,0.4,-7.739731632,-1.009247313,-0.2036771482,-0.02655913982,5.733320781,0.8124236838,5.733134542,0.7475906024
20_lig_assembled_28_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(Cc3ccc4c(c3)OCO4)nn2)O1,protein.pdb,20_lig_assembled_28_pdb_processed.sdf,41,581.535,None,0.2,0.4,-6.725114128,-0.7089877169,-0.1640271738,-0.01729238334,4.874788012,0.5384784406,4.98156602,0.5251760866
21_lig_assembled_29_pdb,COc1ccc(Cn2cc(COC(=O)NC[C@@H](O)[C@@H](O)[C@@H]3O[C@@](OC)(C(=O)O)C[C@H](O)[C@H]3NC(C)=O)nn2)cc1OC,protein.pdb,21_lig_assembled_29_pdb_processed.sdf,42,597.578,None,0.2,0.4,-8.139240411,-0.5489799502,-0.1937914384,-0.0130709512,5.84511607,0.519999263,6.029066971,0.406651815
23_lig_assembled_30_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(CCCCCCCCCCC(=O)O)nn2)O1,protein.pdb,23_lig_assembled_30_pdb_processed.sdf,44,631.68,None,0.2,0.4,-7.252991438,-0.7018101151,-0.1648407145,-0.01595022989,5.241369861,0.5837813024,5.37258625,0.5198593445
24_lig_assembled_31_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(CCNC(=O)NCc3ccco3)nn2)O1,protein.pdb,24_lig_assembled_31_pdb_processed.sdf,43,613.581,None,0.2,0.4,-7.042572325,-0.9759056007,-0.1637807517,-0.02269547909,4.910415956,0.9596472206,5.21672024,0.7228930376
25_lig_assembled_32_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(CCC(=O)O)nn2)O1,protein.pdb,25_lig_assembled_32_pdb_processed.sdf,36,519.464,None,0.2,0.4,-5.558902078,-0.5821957066,-0.1544139466,-0.01617210296,3.96722906,0.4413374065,4.117705243,0.431256079
26_lig_assembled_33_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(CCCCCC(=O)O)nn2)O1,protein.pdb,26_lig_assembled_33_pdb_processed.sdf,39,561.545,None,0.2,0.4,-6.210271341,-0.4383536183,-0.1592377267,-0.01123983637,4.700997966,0.3056835476,4.600200994,0.3247063839
27_lig_assembled_34_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccc(-c4c5ccc(=O)cc-5oc5c4CC=C(O)C5)c(C(=O)O)c3)nn2)O1,protein.pdb,27_lig_assembled_34_pdb_processed.sdf,56,779.712,None,0.2,0.4,-10.11518918,-1.241610425,-0.1806283783,-0.02217161473,7.411772455,0.6970834157,7.492732729,0.919711426
28_lig_assembled_35_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn([C@@H](C)C(=O)O)nn2)O1,protein.pdb,28_lig_assembled_35_pdb_processed.sdf,36,519.464,None,0.2,0.4,-5.707795256,-0.8661243382,-0.1585498682,-0.02405900939,4.151397399,0.6918371161,4.227996486,0.6415735839
29_lig_assembled_36_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(Cc3ccc(C#N)cc3)nn2)O1,protein.pdb,29_lig_assembled_36_pdb_processed.sdf,40,562.536,None,0.2000000039,0.3999999981,-8.948452725,-0.9843079508,-0.2237113181,-0.02460769877,6.612958023,0.9939055327,6.6284835,0.7291170006
30_lig_assembled_37_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn([C@@H](C)C(=O)OCc3ccccc3)nn2)O1,protein.pdb,30_lig_assembled_37_pdb_processed.sdf,43,609.589,None,0.2,0.4,-7.012288315,-0.9789422546,-0.1630764724,-0.02276609894,5.14001441,0.8012738602,5.194287641,0.7251424108
31_lig_assembled_38_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(Cc3cccc(Br)c3)nn2)O1,protein.pdb,31_lig_assembled_38_pdb_processed.sdf,39,616.422,None,0.2,0.4,-7.699233096,-1.125686733,-0.1974162332,-0.02886376239,5.708444936,0.764882423,5.703135627,0.8338420245
32_lig_assembled_39_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(Cc3ccccc3Br)nn2)O1,protein.pdb,32_lig_assembled_39_pdb_processed.sdf,39,616.422,None,0.2,0.4,-6.133899379,-0.7622130191,-0.1572794713,-0.01954392357,4.566207307,0.494653853,4.543629169,0.5646022364
34_lig_assembled_40_pdb,CO[C@]1(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CNC(=O)OCc2cn(-c3ccc(C)cc3)nn2)O1,protein.pdb,34_lig_assembled_40_pdb_processed.sdf,38,537.526,None,0.2000002541,0.3999998729,-7.64335134,-0.7852785949,-0.2011408247,-0.02066522618,5.690611907,0.5969010177,5.661741734,0.5816878481
