[N-]=[N+]=NCCF
[N-]=[N+]=N[C@@H]1C2=C(CC1)C=C(Cl)C=C2
[N-]=[N+]=Nc1cc(C)cc(C)c1
[N-]=[N+]=Nc1c2c(cncc2)ccc1
[N-]=[N+]=NCc1cn2c(cccc2)n1
[N-]=[N+]=NC(C)CC1=NC(C)=CS1
[N-]=[N+]=NCC1=NOC=N1
[N-]=[N+]=NC1=CN=NN(C)1
[N-]=[N+]=NCC1=CC=C(Cl)S1
[N-]=[N+]=NC(C(F)F)1CC1
[N-]=[N+]=N[C@H]1c2c(cc(Cl)cc2)OC3(CCCC3)C1
[N-]=[N+]=NCC1CCCN1
[N-]=[N+]=NCCCOC(C)(C)C
[N-]=[N+]=NCc1cc(C#N)ccc1
[N-]=[N+]=NCC(=O)NCc1ccccc1
[N-]=[N+]=NCCN1C2=C(C=CC=C2)N=C1
[N-]=[N+]=NCCCN1CCC(C(F)(F)F)CC1
[N-]=[N+]=Nc1cc2c(OCC2)cc1
[N-]=[N+]=NC(C)C
[N-]=[N+]=Nc1ccc(C)cn1
[N-]=[N+]=Nc1cc(F)cc(C)c1
[N-]=[N+]=N[C@H](C)C1=CN=NN(C)1
[N-]=[N+]=N[C@@H]1C[C@@H](OC(C)(C)(C))C1
[N-]=[N+]=NCCCNC(=O)C1=CNN=N1
[N-]=[N+]=NCC1CCCC2(COCC2)O1
[N-]=[N+]=NC[C@H]1[C@H](C(F)(F)(F))CC1
[N-]=[N+]=NC1CCCCNC(=O)1
[N-]=[N+]=NCCCN1CCOCC1
[N-]=[N+]=NCC1=NOC(C(F)F)=C1
[N-]=[N+]=NCC1CCCC1
[N-]=[N+]=Nc1ccc(C#N)cc1
[N-]=[N+]=Nc1cc(Cl)cc(F)c1
[N-]=[N+]=Nc1ccc2c(SC(C)=N2)c1
[N-]=[N+]=NCC1(CC)COC1
[N-]=[N+]=N[C@H]1[C@H](OC)COC1
[N-]=[N+]=Nc1ccc(Cl)cn1
[N-]=[N+]=NCC1=C(C)N=C(CC)O1
[N-]=[N+]=NCc1ccc(N2C=CC=N2)cc1
[N-]=[N+]=NCCc1cncc(C)n1
[N-]=[N+]=NCc1nc2n(ncc2)c(O)c1
[N-]=[N+]=NCCN(C)C
[N-]=[N+]=NCC(F)(F)F
[N-]=[N+]=NCCCCCO
[N-]=[N+]=Nc1ccccc(S(=O)(=O)N)1
[N-]=[N+]=NCCN1C(=O)c2c(cccc2)C(=O)1
[N-]=[N+]=Nc1ccc2c(CNCC2)c1
[N-]=[N+]=NCC(=O)OC
[N-]=[N+]=NCCN1CCOCC1
[N-]=[N+]=NCC1N(C(=O)OC(C)(C)C)CCC(C2CC2)1
[N-]=[N+]=NCC1=CN2C(N=CC=C2)=N1
[N-]=[N+]=NC1CC(C(=O)OC)CCC1
[N-]=[N+]=NCC1OCCOC12(CCC2)
[N-]=[N+]=NC(C)(C)C
[N-]=[N+]=NC[C@@H](O)COC
[N-]=[N+]=Nc1ccc(C(=O)OC)cc1
[N-]=[N+]=NCCOCC1CCCC1
[N-]=[N+]=NCC1CCCO1
[N-]=[N+]=NCc1ccccc(C)1
[N-]=[N+]=NC(c2ncccn2)CC1CCCCC1
[N-]=[N+]=NCCc1cccc(C)n1
[N-]=[N+]=NC[C@H](N)C
[N-]=[N+]=Nc1ccc(CO)cc1
[N-]=[N+]=N[C@H](C)c1cc(C)ccc(OC)1
[N-]=[N+]=NCCCOC1CCC1
[N-]=[N+]=NCCN1CCNC(=O)1
[N-]=[N+]=Nc1ccc(CN)cc1
[N-]=[N+]=NCCN1CCC(O)CC1
[N-]=[N+]=NCC1=CC=C(C(=O)OC)O1
[N-]=[N+]=Nc1cc(C(=O)OC)ncc1
[N-]=[N+]=Nc1cncc(C(=O)OC)c1
[N-]=[N+]=NCC1=C(C(=O)OC)C=NO1
[N-]=[N+]=Nc1ccc(Cl)c(C2=NNN=N2)c1
[N-]=[N+]=NCc1nnccc1
[N-]=[N+]=NCC1=CC=CS1
[N-]=[N+]=NCC1=C(C)N=C(C)O1
[N-]=[N+]=NC[C@@H](O)Cc1ccccc1
[N-]=[N+]=NCC1CCCCNC1
[N-]=[N+]=NCCOC1CCSCC1
[N-]=[N+]=NCCCC#N
[N-]=[N+]=NC(C)C(=O)N1CCCC1
[N-]=[N+]=Nc1cc(C(=O)N)ncc1
[N-]=[N+]=NC(C)C(O)c1ccc(C)cc1
[N-]=[N+]=N[C@@H]1COC[C@H](N2C=CC=N2)1
[N-]=[N+]=N[C@H]1c2c(ccc(F)c2)OC3(CCC3)C1
[N-]=[N+]=NCCC(=O)NC
[N-]=[N+]=NCC1CCNCC1
[N-]=[N+]=Nc1c(Cl)ccc(N)c1
[N-]=[N+]=N[C@@H](C)C1=CSC2=C(C=CC=C2)1
[N-]=[N+]=NCC(O)C
[N-]=[N+]=NCc1ccncc1
[N-]=[N+]=N[C@@H]1c2c(cccn2)CCC1
[N-]=[N+]=NCC(F)(F)c1ccccc1
[N-]=[N+]=NCC1CN(CC(C)C)CCO1
[N-]=[N+]=NC[C@@H](N)C
[N-]=[N+]=Nc1cc(F)cc(F)c1
[N-]=[N+]=NC(C)C(=O)NC(C)C
[N-]=[N+]=NCC(=O)NS(=O)(=O)C
[N-]=[N+]=NCC1=C2C(C=CC=C2)=CC=C1
[N-]=[N+]=NC[C@@H]1[C@H](N)CCC1
[N-]=[N+]=NCC1=CC=NO1
[N-]=[N+]=NCCN1C=C(C#N)C=N1
[N-]=[N+]=NCC(C)c1ncccc1
[N-]=[N+]=N[C@H]1[C@H](O)CC1
[N-]=[N+]=NC1CCN2C(=CC=C2)C1
[N-]=[N+]=NC[C@H]1[C@H](C(F)(F)F)C1
[N-]=[N+]=NCCCN
[N-]=[N+]=NCC(=O)NCC
[N-]=[N+]=NCCN1CCCC1
[N-]=[N+]=Nc1nc(OC)nc(OC)n1
[N-]=[N+]=NCC1CC(F)(F)C1
[N-]=[N+]=NCC1=C(C)C=NN1
[N-]=[N+]=NCCC(C)C
[N-]=[N+]=NCCNS(=O)(=O)C
[N-]=[N+]=NCC1(CC1)CC#N
[N-]=[N+]=NCc1ccc(F)cc1
[N-]=[N+]=NC(C)1C(C)CCCC1
[N-]=[N+]=NC[C@H](O)c1ccc(Cl)cc1
[N-]=[N+]=NCC(O)Cc1cc(F)ccc1
[N-]=[N+]=NCC1CCC2C(C2)C1
[N-]=[N+]=NCC1CCC2C(C(F)(F)2)CC1
[N-]=[N+]=N[C@@H]1[C@H](F)CC1
[N-]=[N+]=Nc1ccc2c(CN(C3C(=O)NC(=O)CC3)C(=O)2)c1
[N-]=[N+]=NC1CC1
[N-]=[N+]=NCC1CCOC1
[N-]=[N+]=NCCCC(=O)OC
[N-]=[N+]=Nc1cc2c(OCO2)cc1
[N-]=[N+]=NCC1CCCCC(F)(F)1
[N-]=[N+]=NCC(=O)N(CC)CC
[N-]=[N+]=Nc1nc(OC)ccn1
[N-]=[N+]=NCC1NC(=O)CCC1
[N-]=[N+]=NCCN1C(=O)C=CC=C1
[N-]=[N+]=NCCCP(=O)(OCC)OCC
[N-]=[N+]=Nc1cc(F)ccc(F)1
[N-]=[N+]=NCc1c(F)cc(F)cc1
[N-]=[N+]=NC1CNCC1
[N-]=[N+]=NCC1=NC(C(=O)N)=CS1
[N-]=[N+]=NCC1=C(C2CN(C(=O)OC(C)(C)C)C2)OC=N1
[N-]=[N+]=Nc1cc2c(CCN2)cc1
[N-]=[N+]=NCCCCN
[N-]=[N+]=Nc1c2c(CCCC2)ccc1
[N-]=[N+]=NCCN1CCC(N(C)C)C1
[N-]=[N+]=N[C@@H]1CCCC[C@@H](OCC)1
[N-]=[N+]=NCC1=NOC2=C(CCC2)1
[N-]=[N+]=NCCOCCN
[N-]=[N+]=N[C@@H]1CNC[C@@H](C)1
[N-]=[N+]=NC(=O)C1=NOC=N1
[N-]=[N+]=NC1CCNCC1
[N-]=[N+]=Nc1ccc(S(=O)(=O)N)cc1
[N-]=[N+]=N[C@@H]1c2c(ccc(C)c2)CCC1
[N-]=[N+]=NC1CCOCC1
[N-]=[N+]=Nc1cn(C)nc1
[N-]=[N+]=Nc1ccc(OC)cc1
[N-]=[N+]=NCCNC(=O)C(F)(F)F
[N-]=[N+]=NCc1cc2c(OCO2)cc1
[N-]=[N+]=Nc1ccc(c2ccccc2)cc1
[N-]=[N+]=NC1c2c(cccn2)CC1
[N-]=[N+]=NC(=O)C1=CC=CO1
[N-]=[N+]=NCC1OC(=O)NC1
[N-]=[N+]=NCC1=CSC=N1
[N-]=[N+]=Nc1ccnc(CO)c1
[N-]=[N+]=NCc1cn(C)nc1
[N-]=[N+]=N[C@H]1CC[C@@H](N)CC1
[N-]=[N+]=NCC1OCCNC1
[N-]=[N+]=Nc1cccc2c(cncc2)1
[N-]=[N+]=NCCCc1ccccc1
[N-]=[N+]=NCCCN1CCCOCC1
[N-]=[N+]=Nc1cc2c(SC(C)=N2)cc1
[N-]=[N+]=N[C@H](CC)c1c(F)cccc1
[N-]=[N+]=NCC1CNC1
[N-]=[N+]=N[C@H](C)CN
[N-]=[N+]=NCC1=NN=C(C)O1
[N-]=[N+]=NCC(C)C
[N-]=[N+]=Nc1ccccc1
[N-]=[N+]=NCc1cn(c2ccccc2)nc1
[N-]=[N+]=Nc1cc(OC)ccc1
[N-]=[N+]=NC1=NC=CS1
[N-]=[N+]=Nc1ccn(C)n1
[N-]=[N+]=NCC1=NOC(C2=CC=CO2)=C1



COC1=C(C=CC=C1)C(C)(C)N=[N+]=[N-] |c:4,6,t:2|
Cl.NC1(CCCCCC1)C1=NOC(CN=[N+]=[N-])=N1 |c:16,t:9|
Cl.CCNCCN=[N+]=[N-]
[N-]=[N+]=NCC(=O)N1CCCCC1
ClC1=CC2=C(C=C1)[C@@H](CC2)N=[N+]=[N-] |c:3,5,t:1|
CC1=CC(=CC(C)=C1)N=[N+]=[N-] |c:3,6,t:1|
[N-]=[N+]=NC1=C2C=CN=CC2=CC=C1 |c:3,5,7,10,12|
[N-]=[N+]=NCC1=CN2C=CC=CC2=N1 |c:7,9,12,t:4|
CC(CC1=NC(C)=CS1)N=[N+]=[N-] |c:6,t:3|
[N-]=[N+]=NCC1=NOC=N1 |c:7,t:4|
CN1N=NC=C1N=[N+]=[N-] |c:2,4|
ClC1=CC=C(CN=[N+]=[N-])S1 |t:1,3|
FC(F)C1(CC1)N=[N+]=[N-]
ClC1=CC2=C(OC3(CCCC3)C[C@H]2N=[N+]=[N-])C=C1 |c:18,t:1,3|
[N-]=[N+]=NCC1CCCN1
CC(C)(C)OCCCN=[N+]=[N-]
[N-]=[N+]=NCC1=CC(=CC=C1)C#N |c:6,8,t:4|
[N-]=[N+]=NCC(=O)NCC1=CC=CC=C1 |c:10,12,t:8|
[N-]=[N+]=NCCN1C=NC2=C1C=CC=C2 |c:6,8,11,13|
FC(F)(F)C1CCN(CCCN=[N+]=[N-])CC1
[N-]=[N+]=NC1=CC2=C(OCC2)C=C1 |c:11,t:3,5|
CC(C)N=[N+]=[N-]
CC1=CN=C(C=C1)N=[N+]=[N-] |c:3,5,t:1|
CC1=CC(=CC(F)=C1)N=[N+]=[N-] |c:3,6,t:1|
OCCC1=CC=C(C=C1)N=[N+]=[N-] |c:5,7,t:3|
C[C@@H](N=[N+]=[N-])C1=CN=NN1C |c:7,t:5|
CC(C)(C)O[C@H]1C[C@@H](C1)N=[N+]=[N-]
[N-]=[N+]=NCCCNC(=O)C1=CNN=N1 |c:12,t:9|
[N-]=[N+]=NCC1CCCC2(CCOC2)O1
FC(F)(F)[C@@H]1CC[C@H]1CN=[N+]=[N-] |&1:4,7,r|
[N-]=[N+]=NC1CCCCNC1=O
[N-]=[N+]=NCCCN1CCOCC1
FC(F)C1=CC(CN=[N+]=[N-])=NO1 |c:9,t:3|
[N-]=[N+]=NCC1CCCC1
[N-]=[N+]=NC1=CC=C(C=C1)C#N |c:5,7,t:3|
FC1=CC(=CC(Cl)=C1)N=[N+]=[N-] |c:3,6,t:1|
CC1=NC2=C(S1)C=C(C=C2)N=[N+]=[N-] |c:3,7,9,t:1|
CCC1(CN=[N+]=[N-])COC1
CO[C@@H]1COC[C@H]1N=[N+]=[N-] |&1:2,6,r|
ClC1=CN=C(C=C1)N=[N+]=[N-] |c:3,5,t:1|
CCC1=NC(C)=C(CN=[N+]=[N-])O1 |t:2,5|
[N-]=[N+]=NCC1=CC=C(C=C1)N1C=CC=N1 |c:6,8,12,14,t:4|
CC1=NC(CCN=[N+]=[N-])=CN=C1 |c:8,10,t:1|
OC1=CC(CN=[N+]=[N-])=NC2=CC=NN12 |c:7,11,t:1,9|
Cl.CN(C)CCN=[N+]=[N-]
FC(F)(F)CN=[N+]=[N-]
OCCCCCN=[N+]=[N-]
NS(=O)(=O)C1=C(C=CC=C1)N=[N+]=[N-] |c:6,8,t:4|
[N-]=[N+]=NCCN1C(=O)C2=C(C=CC=C2)C1=O |c:10,12,t:8|
[N-]=[N+]=NC1=CC2=C(CCNC2)C=C1 |c:12,t:3,5|
COC(=O)CN=[N+]=[N-]
[N-]=[N+]=NCCN1CCOCC1
CC(C)(C)OC(=O)N1CCC(C2CC2)C1CN=[N+]=[N-]
[N-]=[N+]=NCC1=CN2C=CC=NC2=N1 |c:7,9,12,t:4|
COC(=O)C1CCCC(C1)N=[N+]=[N-]
[N-]=[N+]=NCC1OCCOC11CCC1
CC(C)(C)N=[N+]=[N-]
COC[C@H](O)CN=[N+]=[N-]
COC(=O)C1=CC=C(C=C1)N=[N+]=[N-] |c:6,8,t:4|
[N-]=[N+]=NCCOCC1CCCC1
[N-]=[N+]=NCC1CCCO1
CC1=C(CN=[N+]=[N-])C=CC=C1 |c:1,7,9|
[N-]=[N+]=NC(CC1CCCCC1)C1=NC=CC=N1 |c:14,16,t:12|
CC1=NC(CCN=[N+]=[N-])=CC=C1 |c:8,10,t:1|
Cl.C[C@@H](N)CN=[N+]=[N-]
OCC1=CC=C(C=C1)N=[N+]=[N-] |c:4,6,t:2|
COC1=C(C=C(C)C=C1)[C@@H](C)N=[N+]=[N-] |c:7,t:2,4|
[N-]=[N+]=NCCCOC1CCC1
[N-]=[N+]=NCCN1CCNC1=O
NCC1=CC(=CC=C1)N=[N+]=[N-] |c:4,6,t:2|
Cl.OC1CCN(CCN=[N+]=[N-])CC1
COC(=O)C1=CC=C(CN=[N+]=[N-])O1 |t:4,6|
COC(=O)C1=NC=CC(=C1)N=[N+]=[N-] |c:6,8,t:4|
COC(=O)C1=CC(=CN=C1)N=[N+]=[N-] |c:6,8,t:4|
COC(=O)C1=C(CN=[N+]=[N-])ON=C1 |c:4,11|
ClC1=C(C2=NNN=N2)C(=CC=C1)N=[N+]=[N-] |c:1,6,9,11,t:3|
[N-]=[N+]=NCC1=NN=CC=C1 |c:6,8,t:4|
[N-]=[N+]=NCC1=CC=CS1 |c:6,t:4|
CC1=NC(C)=C(CN=[N+]=[N-])O1 |t:1,4|
O[C@H](CN=[N+]=[N-])CC1=CC=CC=C1 |c:9,11,t:7|
Cl.[N-]=[N+]=NCC1CCCCNC1
[N-]=[N+]=NCCOC1CCSCC1
[N-]=[N+]=NCCCC#N
CC(N=[N+]=[N-])C(=O)N1CCCC1
NC(=O)C1=NC=CC(=C1)N=[N+]=[N-] |c:5,7,t:3|
CC(N=[N+]=[N-])C(O)C1=CC=C(C)C=C1 |c:12,t:7,9|
[N-]=[N+]=N[C@@H]1COC[C@@H]1N1C=CC=N1 |&1:3,7,r,c:10,12|
FC1=CC2=C(OC3(CCC3)C[C@H]2N=[N+]=[N-])C=C1 |c:17,t:1,3|
CNC(=O)CCN=[N+]=[N-]
Cl.[N-]=[N+]=NCC1CCNCC1
NC1=CC(N=[N+]=[N-])=C(Cl)C=C1 |c:9,t:1,6|
C[C@H](N=[N+]=[N-])C1=CSC2=C1C=CC=C2 |c:8,11,13,t:5|
CC(O)CN=[N+]=[N-]
[N-]=[N+]=NCC1=CC=NC=C1 |c:6,8,t:4|
[N-]=[N+]=N[C@H]1CCCC2=C1N=CC=C2 |c:7,10,12|
FC(F)(CN=[N+]=[N-])C1=CC=CC=C1 |c:9,11,t:7|
CC(C)CN1CCOC(CN=[N+]=[N-])C1
Cl.C[C@H](N)CN=[N+]=[N-]
FC1=CC(=CC(F)=C1)N=[N+]=[N-] |c:3,6,t:1|
CC(C)NC(=O)C(C)N=[N+]=[N-]
CS(=O)(=O)NC(=O)CN=[N+]=[N-]
[N-]=[N+]=NCC1=C2C=CC=CC2=CC=C1 |c:4,6,8,11,13|
N[C@@H]1CCC[C@@H]1CN=[N+]=[N-] |&1:1,5,r|
[N-]=[N+]=NCC1=CC=NO1 |c:6,t:4|
[N-]=[N+]=NCCN1C=C(C=N1)C#N |c:6,8|
CC(CN=[N+]=[N-])C1=NC=CC=C1 |c:8,10,t:6|
O[C@@H]1CC[C@H]1N=[N+]=[N-] |&1:1,4,r|
[N-]=[N+]=NC1CCN2C=CC=C2C1 |c:7,9|
FC(F)(F)[C@@H]1C[C@H]1CN=[N+]=[N-] |&1:4,6,r|
NCCCN=[N+]=[N-]
CCNC(=O)CN=[N+]=[N-]
[N-]=[N+]=NCCN1CCCC1
COC1=NC(N=[N+]=[N-])=NC(OC)=N1 |c:7,11,t:2|
FC1(F)CC(CN=[N+]=[N-])C1
CC1=C(CN=[N+]=[N-])NN=C1 |c:1,8|
CC(C)CCN=[N+]=[N-]
CS(=O)(=O)NCCN=[N+]=[N-]
[N-]=[N+]=NCC1(CC#N)CC1
FC1=CC=C(CN=[N+]=[N-])C=C1 |c:9,t:1,3|
CC1CCCCC1(C)N=[N+]=[N-]
O[C@@H](CN=[N+]=[N-])C1=CC=C(Cl)C=C1 |c:11,t:6,8|
OC(CN=[N+]=[N-])CC1=CC(F)=CC=C1 |c:10,12,t:7|
[N-]=[N+]=NCC1CCC2CC2C1
FC1(F)C2CCC(CN=[N+]=[N-])CCC12
F[C@@H]1CC[C@@H]1N=[N+]=[N-] |&1:1,4,r|
[N-]=[N+]=NC1=CC2=C(C=C1)C(=O)N(C2)C1CCC(=O)NC1=O |c:5,7,t:3|
[N-]=[N+]=NC1CC1
[N-]=[N+]=NCC1CCOC1
COC(=O)CCCN=[N+]=[N-]
[N-]=[N+]=NC1=CC2=C(OCO2)C=C1 |c:11,t:3,5|
FC1(F)CCCCC1CN=[N+]=[N-]
CCN(CC)C(=O)CN=[N+]=[N-]
COC1=NC(N=[N+]=[N-])=NC=C1 |c:7,9,t:2|
[N-]=[N+]=NCC1CCCC(=O)N1
[N-]=[N+]=NCCN1C=CC=CC1=O |c:6,8|
CCOP(=O)(CCCN=[N+]=[N-])OCC
FC1=CC(N=[N+]=[N-])=C(F)C=C1 |c:9,t:1,6|
FC1=CC(F)=C(CN=[N+]=[N-])C=C1 |c:10,t:1,4|
Cl.[N-]=[N+]=NC1CCNC1
NC(=O)C1=CSC(CN=[N+]=[N-])=N1 |c:10,t:3|
CC(C)(C)OC(=O)N1CC(C1)C1=C(CN=[N+]=[N-])N=CO1 |c:12,18|
[N-]=[N+]=NC1=CC2=C(CCN2)C=C1 |c:11,t:3,5|
NCCCCN=[N+]=[N-]
[N-]=[N+]=NC1=C2CCCCC2=CC=C1 |c:3,10,12|
CN(C)C1CCN(CCN=[N+]=[N-])C1
CCO[C@@H]1CCCC[C@H]1N=[N+]=[N-] |&1:3,8,r|
[N-]=[N+]=NCC1=NOC2=C1CCC2 |c:7,t:4|
Cl.NCCOCCN=[N+]=[N-]
C[C@@H]1CNC[C@H]1N=[N+]=[N-] |&1:1,5,r|
[N-]=[N+]=NC(=O)C1=NOC=N1 |c:8,t:5|
Cl.[N-]=[N+]=NC1CCNCC1
NS(=O)(=O)C1=CC=C(C=C1)N=[N+]=[N-] |c:6,8,t:4|
CC1=CC2=C(CCC[C@@H]2N=[N+]=[N-])C=C1 |c:13,t:1,3|
[N-]=[N+]=NC1CCOCC1
CN1C=C(C=N1)N=[N+]=[N-] |c:2,4|
COC1=CC=C(C=C1)N=[N+]=[N-] |c:4,6,t:2|
FC(F)(F)C(=O)NCCN=[N+]=[N-]
[N-]=[N+]=NCC1=CC2=C(OCO2)C=C1 |c:12,t:4,6|
[N-]=[N+]=NC1=CC=C(C=C1)C1=CC=CC=C1 |c:5,7,12,14,t:3,10|
Cl.[N-]=[N+]=NC1CCC2=C1N=CC=C2 |c:6,9,11|
[N-]=[N+]=NC(=O)C1=CC=CO1 |c:7,t:5|
[N-]=[N+]=NCC1CNC(=O)O1
[N-]=[N+]=NCC1=CSC=N1 |c:7,t:4|
OCC1=NC=CC(=C1)N=[N+]=[N-] |c:4,6,t:2|
CN1C=C(CN=[N+]=[N-])C=N1 |c:8,t:2|
OC(=O)C(F)(F)F.N[C@H]1CC[C@H](CC1)N=[N+]=[N-]
Cl.[N-]=[N+]=NCC1CNCCO1
[N-]=[N+]=NC1=C2C=NC=CC2=CC=C1 |c:3,5,7,10,12|
[N-]=[N+]=NCCCC1=CC=CC=C1 |c:8,10,t:6|
[N-]=[N+]=NCCCN1CCCOCC1
CC1=NC2=C(S1)C=CC(=C2)N=[N+]=[N-] |c:3,7,9,t:1|
CC[C@@H](N=[N+]=[N-])C1=C(F)C=CC=C1 |c:6,9,11|
Cl.[N-]=[N+]=NCC1CNC1
Cl.C[C@H](CN)N=[N+]=[N-]
CC1=NN=C(CN=[N+]=[N-])O1 |t:1,3|
CC(C)CN=[N+]=[N-]
[N-]=[N+]=NC1=CC=CC=C1 |c:5,7,t:3|
[N-]=[N+]=NCC1=CN(N=C1)C1=CC=CC=C1 |c:7,12,14,t:4,10|
COC1=CC(=CC=C1)N=[N+]=[N-] |c:4,6,t:2|
[N-]=[N+]=NC1=NC=CS1 |c:5,t:3|
CN1C=CC(N=[N+]=[N-])=N1 |c:2,7|
[N-]=[N+]=NCC1=NOC(=C1)C1=CC=CO1 |c:7,12,t:4,10|
CC1=CN2C=C(CN=[N+]=[N-])N=C2C=C1 |c:10,13,t:1,4|
NC(=O)C(N=[N+]=[N-])C1=CC=C(F)C=C1 |c:12,t:7,9|
CC1=NC(CN=[N+]=[N-])=C(O)C=C1 |c:10,t:1,7|
C[C@H](N=[N+]=[N-])C1=CC=C(Cl)C=C1 |c:10,t:5,7|
OC(=O)C1=CC=C(CN=[N+]=[N-])C=C1 |c:11,t:3,5|
CC[C@@H](N=[N+]=[N-])C1=NC=CC=C1 |c:8,10,t:6|
[N-]=[N+]=NCC1CCC=CCC1 |c:7|
[N-]=[N+]=NC[C@H]1COCCO1
NCCCCCCN=[N+]=[N-]
COC1=CC=C(CN=[N+]=[N-])C=C1 |c:10,t:2,4|
[N-]=[N+]=NCC1COC2=C(O1)C=CC=C2 |c:7,11,13|
COC1=C(C=C(C=C1)C(F)(F)F)N=[N+]=[N-] |c:4,6,t:2|
CC(C)(C)OC(=O)N1CCCC(CCN=[N+]=[N-])CC1
[N-]=[N+]=NCCN1C=CC=N1 |c:6,8|
CCC1=NC(CN=[N+]=[N-])=CS1 |c:8,t:2|
CN1CCN(CCN=[N+]=[N-])CC1
[N-]=[N+]=NCC1=NN=C(O1)C1CC1 |c:6,t:4|
COC1=C(C=CC=C1)[C@@H](O)CN=[N+]=[N-] |c:4,6,t:2|
COC(=O)C1=CSC(CN=[N+]=[N-])=N1 |c:11,t:4|
FC1(F)CCCC1CCN=[N+]=[N-]
[N-]=[N+]=NC1=C2NN=CC2=CC=C1 |c:3,6,9,11|
FC1=CC(=CC=C1)N=[N+]=[N-] |c:3,5,t:1|
COC1(CCC1)C(CO)N=[N+]=[N-]
ClC1=CC=C(OCCN=[N+]=[N-])C=C1 |c:11,t:1,3|
FC(F)(F)OC1=C(Cl)C=C(C=C1)N=[N+]=[N-] |c:5,8,10|
Cl.NC(=N)NCCN=[N+]=[N-]
CC1=C(C=CC=C1)N=[N+]=[N-] |c:3,5,t:1|
[N-]=[N+]=NCCOC1CCOC1
FC1(F)COC(CN=[N+]=[N-])C1
COC(=O)C1=CC=CC2=NC(CN=[N+]=[N-])=CN12 |c:6,14,t:4,8|
FCCCCN=[N+]=[N-]
ClC1=C(C=CC=C1)N=[N+]=[N-] |c:3,5,t:1|
[N-]=[N+]=NCCC1=NC=CC=C1 |c:7,9,t:5|
CC(N=[N+]=[N-])C(=O)NC1=CC=CC=C1 |c:10,12,t:8|
CC(C)(C)OC(=O)NCC1(CN=[N+]=[N-])CC11CCC1
O[C@@H]1CCOC[C@H]1N=[N+]=[N-] |&1:1,6,r|
Cl.[N-]=[N+]=NCC1CCNC1
Cl.N[C@H]1C[C@@H](C1)N=[N+]=[N-]
OC(CN=[N+]=[N-])C(F)(F)F
CC1=CC=C(C=C1)[C@H](O)CN=[N+]=[N-] |c:3,5,t:1|
